"Indicator Name","What Is This Indicator","Location Type",Location,"Indicator Rate Value","Indicator Rate Value Units","Rate Lower Confidence Interval","Rate Upper Confidence Interval","Indicator Count Value","Indicator Count Value Units","Count Lower Confidence Interval","Count Upper Confidence Interval","Indicator Value Unstable","Period of Measure","Data Source","Technical Note","Breakout Title","Breakout Category","Breakout Subcategory","Breakout Rate Value","Breakout Rate Value Units","Breakout Rate Lower Confidence Interval","Breakout Rate Upper Confidence Interval","Breakout Count Value","Breakout Count Value Units","Breakout Count Lower Confidence Interval","Breakout Count Upper Confidence Interval","Breakout Unstable","Breakout Footer"
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,47.7,"ER visits/ 10,000 population 18+ years",42.9,52.5,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,33.3,"ER visits/ 10,000 population 18+ years",29.3,37.3,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,38.5,"ER visits/ 10,000 population 18+ years",34.2,42.8,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,39.7,"ER visits/ 10,000 population 18+ years",35.3,44.1,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,55.1,"ER visits/ 10,000 population 18+ years",49.9,60.3,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,51.3,"ER visits/ 10,000 population 18+ years",46.2,56.4,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53132,49.6,"ER visits/ 10,000 population 18+ years",44.6,54.6,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,53.2,"ER visits/ 10,000 population 18+ years",48.2,58.2,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,35.2,"ER visits/ 10,000 population 18+ years",31.1,39.3,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,45.3,"ER visits/ 10,000 population 18+ years",40.6,50.0,,,,,No,2016-2018,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,54.9,"ER visits/ 10,000 population 18+ years",49.7,60.1,,,,,No,2015-2017,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,88.7,"ER visits/ 10,000 population 18+ years",82.1,95.3,,,,,No,2014-2016,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,90.2,"ER visits/ 10,000 population 18+ years",83.6,96.8,,,,,No,2013-2015,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53154,90.4,"ER visits/ 10,000 population 18+ years",83.8,97.0,,,,,No,2012-2014,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53172,112.7,"ER visits/ 10,000 population 18+ years",102.8,122.6,,,,,No,2018-2020,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
"Age-Adjusted ER Rate due to Adult Mental Health","This indicator shows the age-adjusted emergency room visit rate due to mental health per 10,000 population aged 18 years and older. Cases include adjustment disorders; anxiety disorders; attention deficit conduct and disruptive behavior disorders; delirium, dementia, amnestic and other cognitive disorders; disorders usually diagnosed in infancy, childhood, or adolescence; mood disorders; personality disorders; schizophrenia and other psychotic disorders; and impulse control disorders not elsewhere classified. ","Zip Code",53172,80.2,"ER visits/ 10,000 population 18+ years",71.9,88.5,,,,,No,2017-2019,"WHA Information Center","Rates were calculated using Claritas population estimates. Rates based on fewer than 10 emergency room visits or a population of less than 300 are unstable and are not reported. In October 2015, health care facilities began using International Statistical Classification of Diseases and Related Health Problems, 10th Revision (ICD-10) for diagnosis and procedure coding of admissions and visits. Due to the increased specificity for diagnosis and procedure codes with ICD-10, please use caution when comparing prior time periods.",,,,,,,,,,,,,
